 Stephen Curry , Avery Bradley , LaMarcus Aldridge 
 LeBron James , Draymond Green , Kobe Bryant 
 DeAndre Jordan , DeAndre Jordan , DeMarcus Cousins 
 Kawhi Leonard , Kawhi Leonard , Stephen Curry 
 Russell Westbrook , Chris Paul , Anthony Davis 
 DeMarcus Cousins , Tony Allen , Kevin Durant 
 Kevin Durant , Jimmy Butler , Draymond Green 
 Draymond Green , Paul George , James Harden 
 Damian Lillard , Paul Millsap , Kawhi Leonard 
 Chris Paul , Hassan Whiteside, Chris Paul 
 LaMarcus Aldridge ,, Klay Thompson 
 Andre Drummond ,, Russell Westbrook 
 Paul George ,, Carmelo Anthony 
 Kyle Lowry ,, Chris Bosh 
 Klay Thompson ,, Jimmy Butler 
,, DeMar DeRozan 
,, Andre Drummond 
,, Pau Gasol 
,, Paul George 
,, Al Horford 
,, LeBron James 
,, Kyle Lowry 
,, Paul Millsap 
,, Isaiah Thomas 
,, Dwyane Wade 
,, John Wall
