Anthony Davis , Patrick Beverley , Giannis Antetokounmpo 
 James Harden , Rudy Gobert , Carmelo Anthony 
 LeBron James , Draymond Green , Jimmy Butler 
 Kawhi Leonard , Kawhi Leonard , DeMar DeRozan 
 Russell Westbrook , Chris Paul , Paul George 
 Giannis Antetokounmpo , Tony Allen , Kyrie Irving 
 Stephen Curry , Giannis Antetokounmpo , LeBron James 
 Kevin Durant , Anthony Davis , Kevin Love
 Rudy Gobert , Danny Green , Kyle Lowry 
 Isaiah Thomas , Andre Roberson , Paul Millsap 
 Jimmy Butler ,, Isaiah Thomas 
 DeMar DeRozan ,, Kemba Walker 
 Draymond Green ,, John Wall 
 DeAndre Jordan ,, DeMarcus Cousins 
 John Wall ,, Stephen Curry 
,, Anthony Davis 
,, Kevin Durant 
,, Marc Gasol 
,, Draymond Green 
,, James Harden 
,, Gordon Hayward 
,, DeAndre Jordan 
,, Kawhi Leonard 
,, Klay Thompson 
,, Russell Westbrook 
