 Anthony Davis , Robert Covington ,LeBron James
 Kevin Durant , Anthony Davis , LaMarcus Aldridge 
 James Harden , Rudy Gobert , Bradley Beal 
 LeBron James , Jrue Holiday , DeMarcus Cousins
 Damian Lillard , Victor Oladipo , Anthony Davis 
 LaMarcus Aldridge , Jimmy Butler , Goran Dragic 
 Giannis Antetokounmpo , Joel Embiid , Andre Drummond 
 DeMar DeRozan , Draymond Green , Kevin Durant 
 Joel Embiid , Al Horford , Paul George 
 Russell Westbrook , Dejounte Murray , Kyrie Irving 
 Jimmy Butler ,, LeBron James 
 Stephen Curry ,, Kevin Love
 Paul George ,, Victor Oladipo 
 Victor Oladipo ,, Kristaps Porzingis
 Karl-Anthony Towns ,, Kemba Walker 
,, John Wall
,, Russell Westbrook 
,,Stephen
,, Giannis Antetokounmpo 
,, Jimmy Butler
,, Stephen Curry 
,, DeMar DeRozan 
,, Joel Embiid 
,, Draymond Green 
,, James Harden 
,, Al Horford 
,, Damian Lillard 
,, Kyle Lowry 
,, Klay Thompson 
,, Karl-Anthony Towns
